犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
純じゅん	きいと、もっぱら ジュン、シュン、ドン、トン genuine, purity, innocence, net (profit) Atsushi (make given name) Jun (male given name) (na-adj.) innocent words with this kanji: 純物質じゅんぶっしつ - pure material
顧こ	かえり.みる ク、コ look back, review, examine oneself, turn around words with this kanji: 顧客こきゃく - regular customer; patron
添てん	沗 そ.える、そ.う テン annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate words with this kanji: 添そえる - to garnish
援えん	たす.ける、ひ.く、たすけ エン、オン abet, help, save words with this kanji: 援助えんじょ - assistance, aid 経済援助けいざいえんじょ - economic assistance
黙もく	默 だま.る、もだ.す モク、ボク silence, become silent, stop speaking, leave as is words with this kanji: 黙だまる - to be silent
抗こう	あらが.う、ふせ.ぐ コウ confront, resist, defy, oppose words with this kanji: 反抗はんこう - resistance; rebellion 反抗的はんこうてき - rebellious; defiant
威い	おど.す、おど.し、おど.かす イ intimidate, dignity, majesty, menace, threaten words with this kanji: 権威けんい - authority
挑ちょう	いど.む、かか.げる チョウ、トウ、ジョウ challenge, contend for, make love to words with this kanji: 挑戦ちょうせん - challenge (against authority or a higher-ranked person)
影かげ	かげ ヨウ、エイ shadow, silhouette, phantom words with this kanji: 影響えいきょう - influence, effect 影響力えいきょうりょく - influence​ 悪影響あくえいきょう - bad effect; negative influence​
輩やから	軰、徒 -ばら、やから、やかい、ともがら ヘ、ハイ comrade, fellow, people, companions words with this kanji: 先輩せんぱい - a senior, one who has seniority 後輩こうはい - someone born later, junior member of a group, kohai​ 我輩わがはい - I, we, us (used by males)
焦しょう	こ.げる、こ.がす、こ.がれる、あせ.る、じ.れる、じ.らす ショウ char, hurry, impatient, irritate, burn, scorch, singe words with this kanji: 焦こげる - to be burned 焦あせる - to be in a hurry
擦さつ	す.る、す.れる、-ず.れ、こす.る、 こす.れる、さす.る サチ、サツ grate, rub, scratch, scrape, chafe, scour words with this kanji: 擦する - to rub, scrub
騙へん	あざむ.く、かた.る、だま.る、だま.す、だま.かす、だま.くらかす ヘン deceive words with this kanji: 騙だます - to cheat, deceive
訟しょう	あらそ.う、うった.える ジュ、ズ、ショウ sue, accuse words with this kanji: 訴訟そしょう - (law) lawsuit (a case where a court is needed to resolve differences)
融ゆう	とお.る、と.ける、と.かす ユ、ユウ dissolve, melt words with this kanji: 金融きんゆう - finance 金融庁きんゆうちょう - Financial Services Agency; FSA​ 金融機関きんゆうきかん - financial institutions; banking facilities
庁ちょう	やくしょ チョウ、テイ government office words with this kanji: 金融庁きんゆうちょう - Financial Services Agency; FSA​
促そく	うなが.す、せま.る ソク、ショク stimulate, urge, press, demand, incite words with this kanji: 促うながす - to urge, stimulate, incite
穴あな	けつ あな ゲチ、ケツ hole, aperture, slit, cave, den 私わたしたちは木きを植うえるために穴あなを掘ほった。
滝たき	瀧、瀑 たき ロウ、ソウ waterfall, rapids, cascade Taki (place name) Taki (surname) その川かわにはいくつかの滝たきがある。
底そこ	"そこ、なんぞ タイ、テイ bottom, sole, depth, bottom price, base, kind, sort コップの底そこの硬貨こうかがなくなった。 words with this kanji: 心こころの底そこ - bottom of one's heart"
芝しば	"しば、しざま シ turf, lawn Shiba (surname) Shihazaki (surname) Shibasaki (surname) Shibazaki (surname) Shibataka (surname) 芝しばする - short for 芝見しばみ: to hide in the grass and spy on one's enemies or scout out the situation words with this kanji: 芝生しばふ - grass, a lawn"
追つい	お.う ツイ、タイ chase, drive away, follow, pursue, meanwhile words with this kanji: 追おう - to chase (after something) 日ひを追おって - daily; day by day​
叩こう	たた.く、はた.く、すぎ グ、コウ strike, beat, kow tow, hit, thrash, criticize words with this kanji: 叩たたく - to hit; to strike; to beat; to paddle (to spank with a paddle
狩しゅ	狩り か.る、か.り、かり、-が.り シュ、シュウ hunt, raid, gather words with this kanji: 狩かり - hunting (game, deer, ducks, etc.), hunt
沈ちん	しず.む、しず.める チン、シン、ジン sink, be submerged, subside, be depressed, aloes words with this kanji: 沈しずむ - to sink; to go to the bottom
愚ぐ	おろ.か グ foolish, folly, absurdity, stupid words with this kanji: 愚おろか - foolish
蛇へび	虵、ヘビ へび、くちなわ ジャ、シャ、ダ、イ、ヤ snake, serpent, hard drinker ヘビは哺乳動物ほにゅうどうぶつではない。
蟹かに	蠏、カニ かに ゲ、カイ crab 彼かれは店みせでカニを３匹さんびき買かった。
亀かめ	龜、カメ かめ キ、ク、キュウ、キン tortoise, turtle words with this kanji: 海亀うみがめ - a sea turtle
鯨くじら	クジラ、勇魚 くじら、おくじら、いさ、いさな ギョウ、ケイ、ゲイ whale クジラは哺乳動物ほにゅうどうぶつだ。
網あみ	あみ モウ、ボウ netting, network 網あみで魚さかなを焼やいた。 チョウを網あみで捕つかまえた。
巣す	巢、栖、窼 す、す.くう ジョウ、ソウ nest, rookery, hive, cobweb, den 鳥とりは木きに巣すを作つくる。
蟻あり	螘、蟻の子、アリ あり、ありのこ ギ ant 何なに、これ？アリのための学校がっこう？
蝶ちょう	チョウ かわひらこ ジョウ、チョウ butterfly
雌めす	牝 め-、めす、めん シ feminine, female あのパンダは雄おすですか、雌めすですか。
雄おす	男、牡、夫 お-、おす、おん ウ、ユ、ユウ masculine, male, hero, leader, superiority, excellence 君きみの子猫こねこは雄おすなの、雌めすなの？
虎とら	乕、虝、トラ とら ク、コ tiger, drunkard 動物園どうぶつえんから２頭にとうの虎とらが脱走だっそうした。
梟ふくろう	フクロウ ふくろう キョウ owl, expose 緑色みどりいろのフクロウが私わたしを見みている。
哺ほ	はぐく.む、ふく.む ブ、ホ nurse, suckle words with this kanji: 哺乳ほにゅう - lactation, nursing 哺乳類ほにゅうるい - mammals, mammal 哺乳動物ほにゅうどうぶつ - mammal
蜘ち	くも チ spider words with this kanji: 蜘蛛くも - spider
蛛ちゅ	くも チュウ、チュ、シュ spider words with this kanji: 蜘蛛くも - spider
双そう	雙 ふた、たぐい、ならぶ、ふたつ ソウ pair, set, comparison, counter for pairs words with this kanji: 双子ふたご - twins
吠はい	ほえ.る、ほ.える ハイ、ベイ、オ bark, howl, cry words with this kanji: 吠ほえる - (of beasts) to bark, to howl 吠ほえ声ごえ - bark (short, loud, explosive utterance)
唸てん	うな.る、うなり、うな.り テン、ネン groan, roar words with this kanji: 唸うなる - to growl, to moan, to roar, to grunt, to howl, to groan 唸うなり声ごえ - groan; moan
麒き	ギ、ゴ、キ Chinese unicorn, genius, giraffe, bright, shining words with this kanji: 麒麟きりん - a giraffe (mammal)
麟りん	リン Chinese unicorn, genius, giraffe, bright, shining words with this kanji: 麒麟きりん - a giraffe (mammal)
謎なぞ	なぞ メイ、マイ、ベイ riddle, puzzle, enigma, hint, tip そんな謎なぞめいた顔かおをされても、うまく説明せつめいできないよ。
膨ぼう	ふく.らむ、ふく.れる ビョウ、ホウ、ボウ swell, get fat, thick words with this kanji: 膨ふくらむ - to swell, to expand, to get bigger
喧けん	やかま.しい、かまびす.しい コン、ケン noisy, boisterous words with this kanji: 喧嘩けんか - a fight, a physical confrontation
嘩か	譁 かまびす.しい ゲ、カ、ケ noisy words with this kanji: 喧嘩けんか - a fight, a physical confrontation
皮かわ	かわ ビ、ヒ pelt, skin, hide, leather, skin radical (no. 107) words with this kanji: 皮肉ひにく - irony
宇う	のき、いえ ウ eaves, roof, house, heaven Sakai (female given name) words with this kanji: 宇宙うちゅう - the universe 宇宙人うちゅうじん - an alien (life form of non-Earth origin) 宇宙旅行うちゅうりょこう - space travel 宇宙飛行士うちゅうひこうし - an astronaut (member of the crew of a spaceship or other spacecraft, or someone trained for that purpose) 宇宙船うちゅうせん - a spaceship (vehicle that flies through space)
宙ちゅう	そら ジュウ、チュウ mid-air, air, space, sky, memorization, interval of time words with this kanji: 宇宙うちゅう - the universe 宇宙人うちゅうじん - an alien (life form of non-Earth origin) 宇宙旅行うちゅうりょこう - space travel 宇宙飛行士うちゅうひこうし - an astronaut (member of the crew of a spaceship or other spacecraft, or someone trained for that purpose) 宇宙船うちゅうせん - a spaceship (vehicle that flies through space)
検けん	檢 しら.べる ケン examination, investigate words with this kanji: 探検たんけん - expedition, exploration 探検家たんけんか - explorer (person who by means of travel searches out new information)
系けい	つな.ぐ ゲ、ケイ lineage, system words with this kanji: 太陽系たいようけい - the Solar System
兼けん	か.ねる、-か.ねる ケン concurrently, and, beforehand, in advance Ken (male given name) words with this kanji: 兼かねる - to find it difficult to do, be unable to do
漏ろう	屚 も.る、も.れる、も.らす ル、ロウ leak, escape, time words with this kanji: 漏洩ろうえい - leak (of secrets, information, etc.), disclosure
洩えい	も.らす、の.びる、も.れる エイ、セツ leak, escape words with this kanji: 漏洩ろうえい - leak (of secrets, information, etc.), disclosure
妙みょう	玅 わか.い、たえ ミョウ、ビョウ exquisite, strange, queer, mystery, miracle, excellent, delicate, charming (na-adj.) strange excellent words with this kanji: 微妙びみょう - subtle
展てん	の.べる、つら.ねる、のびる テン unfold, expand Makoto (male given name) words with this kanji: 発展はってん - development
雇こ	やと.う、やとい ク、グ、コ employ, hire words with this kanji: 雇用こよう - employment, hire 終身雇用しゅうしんこよう - lifetime employment; permanent employmen
序じょ	つい.で、ついで、のべる ジョ、ショ preface, beginning, order, precedence, occasion, chance, incidentally words with this kanji: 序列じょれつ - ranking, hierarchy 年功序列ねんこうじょれつ - seniority by length of service
依い	よ.る イ、エ reliant, depend on, consequently, therefore, due to words with this kanji: 依存症いぞんしょう - addiction
望ぼう	のぞ.む、のぞみ、もち ボウ、モウ ambition, full moon, hope, desire, aspire to, expect Nozomu (male given name) Nozomi (female given name) words with this kanji: 望のぞむ - to wish, to hope, to want, to desire 希望きぼう - hope (expectations)
希き	まれ、のぞみ、こいねが.う キ、ケ hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal words with this kanji: 希望きぼう - hope (expectations)
廃はい	廢 すた.れる、すた.る ホ、ハイ abolish, obsolete, cessation, discarding, abandon words with this kanji: 統廃合とうはいごう - consolidation by abolishment of individual parts
修しゅう	俢 おさ.める、 おさ.まる シュウ、シュ discipline, conduct oneself well, study, master Osamu (male given name) words with this kanji: 修理しゅうり - a repair
及きゅう	およ.ぶ、およ.び、および、およ.ぼす ゴウ、キュウ reach out, exert, exercise, cause words with this kanji: 及および - and, as well as
装そう	裝 よそお.う、よそお.い ソウ、ショウ attire, dress, pretend, disguise, profess words with this kanji: 服装ふくそう - garments and clothing
頬ほお	頰、面 ほお、ほほ、つら キョウ cheeks, jaw Suemitsu (male given name) Suemoto (male given name) Norimichi (male given name) 歯痛しつうで頬ほおが腫はれている。
腫しゅ	は.れる、は.れ、は.らす、はれもの シュ、ショウ tumor, swelling words with this kanji: 腫はれる - (of a body part) to swell (from inflammation)
茎くき	莖 くき、なかご ギョウ、コウ、ケイ、キョウ stalk, stem words with this kanji: 歯茎はぐき - gums (flesh round the teeth)
診しん	み.る シン、ジン、チン checkup, seeing, diagnose, examine words with this kanji: 診みる - (medicine) to examine
否いな	いな、いな.む、いや、あらず ビ、フ、ヒ、フウ negate, no, noes, refuse, decline, deny words with this kanji: 否定ひてい - denial, negation や否いなや - as soon as
了りょう	お.える、お.わる、しま.う、つい.に リョウ complete, finish Satoru (male given name) words with this kanji: 終了しゅうりょう - end; conclusion; finish
索さく	なわ、もと.める サク cord, rope, searching, inquiring words with this kanji: 検索けんさく - retrieval, searching
房ふさ	ふさ、へや ボウ、ホウ tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room words with this kanji: 暖房だんぼう - heating 冷房れいぼう - air conditioning, lowering the indoor air temperature
掲けい	揭 かか.げる ケ、ケイ、ケツ put up (a notice), put up, hoist, display, hang out, publish, describe words with this kanji: 掲載けいさい - publication in a magazine, newspaper, etc.
句く	ク、コウ phrase, clause, sentence, passage, paragraph, (counter for haiku) words with this kanji: 俳句はいく - haiku, a poem that usually consists of 5-7-5 morae 語句ごく - words and phrases 挙句あげく - in the end, after all 挙句あげくの果はて - in the end
苺いちご	莓、イチゴ いちご バイ、マイ、メ strawberry Ichigo (female given name) 彼かれはイチゴでジャムを作つくった。
缶かん	缻、罐、鑵、カン かま、ほとぎ カン tin can, container, jar radical (no. 121) words with this kanji: 缶詰かんづめ - canned food, tinned food 缶かんは容器ようきの一種いっしゅだ。
酢す	醋、酸 す サク、ザク、ス、ソ vinegar, sour, acid, tart 酢すと醤油しょうゆを混まぜる。
桃もも	もも トウ、ドウ peach Momo (female given name)
溶よう	と.ける、と.かす、と.く ヨウ、ユウ melt, dissolve, thaw words with this kanji: 溶とかす - to melt, dissolve
塗と	ぬ.る、ぬ.り、まみ.れる、どろ ト paint, plaster, daub, smear, coating words with this kanji: 塗ぬる - to paint or plaster
剥はく	剝 へ.ぐ、へず.る、む.く、む.ける、 は.がれる、は.ぐ、は.げる、は.がす ハク、ホク come off, peel, fade, discolor words with this kanji: 剥むく - to peel
詰きつ	つ.める、つ.め、-づ.め、つ.まる、 つ.む、なじ.る キツ、キチ packed, close, pressed, reprove, rebuke, blame words with this kanji: 詰つめる - to stuff; to fill; to cram 缶詰かんづめ - canned food, tinned food
仲なか	"なか ジュウ、チュウ go-between, relationship words with this kanji: 仲人なこうど - matchmaking 仲間なかま - member of a group; peer; ""one of us"""
賞しょう	ほ.める ショウ prize, reward, praise 彼かれらは彼かれに賞しょうを与あたえた。
導どう	みちび.く、しるべ ドウ、トウ guidance, leading, conduct, usher words with this kanji: 指導しどう - guidance; leadership 指導力しどうりょく - leadership skill; leadership ability
択たく	擇 えら.ぶ タク choose, select, elect, prefer words with this kanji: 選択せんたく - a selection; a choice; an option
茨いばら	荊、棘 いばら、うばら、うまら、むばら シ、ジ briar, thorn words with this kanji: 茨城いばらき - Ibaraki
岩いわ	巌、磐 いわ ゲン、ガン boulder, rock, cliff words with this kanji: 岩手いわて - Iwate
児こ	兒、子 こ、-こ、-っこ ジ、ニ、ゲイ newborn babe, child, young of animals words with this kanji: 鹿児島かごしま - Kagoshima
佐さ	たす.ける、たすけ、すけ サ assistant, help words with this kanji: 佐藤さとう - Satou, Satō, Sato 佐賀さが - Saga​
滋し	しげ.る、ま.す、ますます ジ、シ nourishing, more & more, be luxuriant, planting, turbidity words with this kanji: 滋賀しが - Shiga
徳とく	德 おしえ レイ benevolence, virtue, goodness, commanding respect words with this kanji: 徳島とくしま - Tokushima
栃とち	杤、橡、櫔 とち トク horse chestnut, (kokuji) words with this kanji: 栃木とちぎ - Tochigi
梨なし	ナシ なし リ、リン pear tree words with this kanji: 山梨やまなし - Yamanashi
婦ふ	おんな、つま、よめ ブ、フウ、フ lady, woman, wife, bride words with this kanji: 夫婦ふうふ - husband and wife, married couple, spouses, couple, pair
齢よわい	"齡、歯 よわい、とし リョウ、レイ age words with this kanji: 年齢ねんれい - (formal) someone's age 高齢こうれい - advanced age, old age 高齢者こうれいしゃ - elderly person or people 高齢化こうれいか - population ageing (aging)​ 精神年齢せいしんねんれい - mental age​ 平均年齢へいきんねんれい - average age"
偏へん	かたよ.る、ひとえ.に ヘン partial, side, left-side radical, inclining, biased words with this kanji: 偏見へんけん - prejudice
憶おく	おも.う オク、ヨク recollection, think, remember words with this kanji: 記憶きおく - memory; recollection; remembrance 記憶力きおくりょく - memory; ability to remember​
衆しゅう	眾 おお.い シュウ、シュ masses, great numbers, multitude, populace words with this kanji: 大衆たいしゅう - the public 一般大衆いっぱんたいしゅう - ordinary people; general public; public at large​​
寮りょう	つかさ リョウ dormitory, hostel, villa, tea pavillion 今週こんしゅうの金曜日きんようびに寮りょうでパーティーを開ひらく。
範はん	のり、のっとり ボン、ハン pattern, example, model words with this kanji: 範囲はんい - range, region
稚ち	穉、稺 いとけない、おさない、わか.い、 おくて、おでる チ、ジ immature, young words with this kanji: 幼稚園ようちえん - a kindergarten 幼稚園児ようちえんじ - kindergartener; preschooler
幼よう	おさな.い、いと.けない、おさな.びる ユウ、ヨウ infancy, childhood words with this kanji: 幼稚園ようちえん - a kindergarten 幼稚園児ようちえんじ - kindergartener; preschooler
板いた	いた ヘン、ハン、バン plank, board, plate, stage words with this kanji: 黒板こくばん - blackboard
秀しゅう	ひい.でる シュ、シュウ excel, excellence, beauty, surpass Shū (male given name) words with this kanji: 優秀ゆうしゅう - excellent, superior, outstanding 優秀賞ゆうしゅうしょう - award of excellence; merit award​​
脚あし	踋、あし あし キャク、キャ、カク skids, leg, undercarriage, lower part, base
腰こし	コシ、こし こし ヨウ loins, hips, waist, low wainscoting
胃い	イ stomach, paunch, crop, craw 食たべすぎて胃いの調子ちょうしが悪わるい。
処しょ	處 ところ、-こ、お.る、お.く、か、く、こ、と、とこ ショ dispose, manage, deal with, sentence, condemn, act, behave, place words with this kanji: 処方しょほう - prescription (written order for the administration of a medicine) 処方箋しょほうせん - medical prescription
箋せん	䇳、籖、札、簡 ふだ セン paper, label, letter, composition words with this kanji: 処方箋しょほうせん - medical prescription
症しょう	ショウ symptoms, illness words with this kanji: 症状しょうじょう - a symptom
療りょう	いや.す リョウ heal, cure words with this kanji: 治療ちりょう - medical treatment 治療法ちりょうほう - method of treatment; cure; remedy
凝ぎょう	こ.る、こ.らす、こご.らす、 こご.らせる、こご.る ギョウ congeal, freeze, stiff, be absorbed in words with this kanji: 凝こる - to grow stiff
膚ふ	肌 はだ フ skin, body, grain, texture, disposition words with this kanji: 皮膚ひふ - the skin 皮膚病ひふびょう - dermatosis
圧あつ	壓 お.す、へ.す、おさ.える、お.さえる アツ、エン、ヨウ、オウ pressure, push, overwhelm, oppress, dominate words with this kanji: 血圧けつあつ - blood pressure
酸さん	酢 す.い サン acid, bitterness, sour, tart words with this kanji: 酸素さんそ - oxygen (chemical element) 酸類さんるい - acids この酸さんは金属きんぞくに作用さようする。
較かく	くら.べる カク、キョウ、コウ contrast, compare words with this kanji: 比較ひかく - comparison
液えき	しる ヤク、エキ fluid, liquid, juice, sap, secretion words with this kanji: 液体えきたい - a liquid
仮か	假 かり、かり-、かり.る カ、ケ sham, temporary, interim, assumed (name), informal words with this kanji: 仮説かせつ - hypothesis 仮説かせつを立たてる - to build up a hypothesis​
析せき	シャク、セキ chop, divide, tear, analyze words with this kanji: 分析ぶんせき - hypothesis
傾けい	斜め かたむ.く、かたむ.ける、かたぶ.く、 かし.ぐ、かた.げる、かし.げる キョウ、ケイ lean, incline, tilt, trend, wane, sink, ruin, bias words with this kanji: 傾向けいこう - inclination, tendency
幕まく	"おお.う、とばり マク、バク curtain, bunting, act of play words with this kanji: 出でる幕まくではない - it is none of one's business; it is not one's place to say (do) something 字幕じまく - subtitles​ この劇げきは三さん幕まくものです。 盛さかんな拍手はくしゅのうちに幕まくが降おりました。"
抽ちゅう	ひき-、ぬ.く、ひ.く チュウ pluck, pull, extract, excel words with this kanji: 抽象ちゅうしょう - abstraction 抽象的ちゅうしょうてき - abstract 抽象芸術ちゅうしょうげいじゅつ - abstract art
著ちょ	著 あらわ.す、いちじる.しい、つ.く ジャク、チョ、チャク renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), (counter for suits of clothing), literary work words with this kanji: 著者ちょしゃ - author
創そう	刅、戧 つく.る、はじ.める、きず、 きず.つける、けず.しける ソウ、ショウ genesis, wound, injury, hurt, start, originate Sō (female given name) Tsukuru (female given name) Hajime (female given name) words with this kanji: 創造そうぞう - creation: the making of things 創造的そうぞうてき - creative 創造性そうぞうせい - creativity; creativeness 創造力そうぞうりょく - creative power; creativity
造ぞう	いた.る、つ.く、つく.る、つく.り、 -づく.り、な.る、みやつこ ゾウ、ソウ create, make, structure, physique words with this kanji: 創造そうぞう - creation: the making of things 創造的そうぞうてき - creative 創造性そうぞうせい - creativity; creativeness 創造力そうぞうりょく - creative power; creativity
盛せい	も.る、さか.る、さか.ん セイ、ジョウ boom, prosper, copulate words with this kanji: 盛さかん - prosperous, flourishing
誤ご	あやま.る、-あやま.る、まちが.う グ、ゴ mistake, err, do wrong, mislead words with this kanji: 誤解ごかい - misunderstanding
適てき	偶、偶々、偶偶、 たまたま ゆ.く、かな.う、たまたま、まさに チャク、シャク、テキ、セキ suitable, occasional, rare, qualified, capable words with this kanji: 適当てきとう - suitability; appropriateness; fitness 不適当ふてきとう - inappropriateness, unsuitability
賢けん	贒 かしこ.い、さか.しい、まさ.る ゲン、ケン intelligent, wise, wisdom, cleverness Satoru (male given name) Masaru (male given name) Ken (male given name) words with this kanji: 賢かしこい - bright, clever
極きょく	きわ.める、きわ.まる、きわ.まり、 きわ.み、き.める、-ぎ.め、き.まる キョク、ゴク poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 1048 words with this kanji: 極きわめて - exceedingly
概がい	槪 とたき、おおむ.ね、おもむき カイ、ガイ outline, condition, approximation, generally words with this kanji: 概念がいねん - concept, general idea
粋いき	粹 いき スイ、サイ chic, style, purity, essence, pith, cream, elite, choice words with this kanji: 純粋じゅんすい - purity
璧へき	たま ヒャク、ヘキ sphere, ball words with this kanji: 完璧かんぺき - perfection, infallibility, completeness
昔むかし	むかし セキ、シャク once upon a time, antiquity, old times words with this kanji: 昔々むかしむかし - ancient times, a very long time ago 昔むかしはよく屋根やねに上のぼって空そらを眺ながめたものだ。
刀かたな	釖、刂 かたな、そり ト、トウ sword, saber, knife words with this kanji: 刀かたなを差さす - to wear a sword 江戸えど時代じだい、武士ぶしは刀かたなを２本にほん差さしていた。
忍にん	しの.ぶ、しの.ばせる ニン、ジン endure, bear, put up with, conceal, secrete, spy, sneak Shinobu (unisex given name, surname) words with this kanji: 忍者にんじゃ - a ninja (person trained in stealth, espionage, assassination and ninjutsu)
江え	え コウ、ゴウ creek, inlet, bay E (surname) Kō (unisex given name, surnmae) Gō (unisex given name, surnmae) words with this kanji: 江戸えど - Edo, the former name of Tokyo before 1868
憲けん	のり、おきて コン、ケン constitution, law words with this kanji: 憲法けんぽう - constitution 立憲りっけん - constitutionalism 立憲君主国りっけんくんしゅこく - constitutional monarchy​ 立憲民主党りっけんみんしゅとう - Constitutional Democratic Party of Japan (2017-); CDPJ​
杯さかずき	盃、巵、盞、坏、酒坏、酒盃 さかずき ヘ、ハイ (counter for cupfuls), wine glass, glass, toast words with this kanji: 乾杯かんぱい - cheers! bottoms up! (toast) 紅茶こうちゃをもう１杯いっぱいいかがですか？
麺めん	麵、麪、麦粉 むぎこ メン、ベン noodles, wheat flour words with this kanji: 冷ひやし麺めん - chilled noodles パスタは麺めんの一種いっしゅです。
餃ぎょう	あめ ギョウ、キョウ、コウ、チャオ gyoza words with this kanji: 餃子ぎょうざ - gyoza: a kind of dumpling or potsticker with a thin skin, traditionally made with minced pork and then fried, boiled, or steamed
華はな	蕐、花 はな、はな.やか カ、ケ、ゲ splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous Ka (surname, male or female given name) Hana (female given name, surname) words with this kanji: 中華ちゅうか - China, Chinese (adjective) 中華料理ちゅうかりょうり - Chinese food
却きゃく	卻 かえ.って、しりぞ.く、しりぞ.ける カク、キャク instead, on the contrary, rather, step back, withdraw, retreat words with this kanji: 返却へんきゃく - return of a borrowed item 返却口へんきゃくぐち - return slot (for coins in a vending machine); drop-off point (for dirty dishes at a restaurant)
昇しょう	曻 のぼ.る ショウ rise up Noboru (male given name) words with this kanji: 昇のぼる - to go up, rise
没ぼつ	沒 おぼ.れる、し.ぬ、い.る、ぼっ.する、 しず.む、ない ボツ、モツ drown, sink, hide, fall into, disappear, die words with this kanji: 日没にちぼつ - sunset
凸とつ	でこ、つばく.む トチ、トツ convex, beetle brow, uneven words with this kanji: 凸凹でこぼこ - bumpiness, lumpiness
凹おう	窪、窪み、凹み、中窪 くぼ.む、へこ.む、ぼこ、くぼ、 くぼ.い、くぼ.か、くぼ.める、 くぼ.まる、くぼ.ます、くぼ.やか、 なかくぼ、へこ.む ヨウ、オウ concave, hollow, sunken words with this kanji: 凸凹でこぼこ - bumpiness, lumpiness
輝き	かがや.く、かがや.かしい、て.る ケ、キ radiance, shine, sparkle, gleam, twinkle Akira (male given name) words with this kanji: 輝かがやく - to shine dazzlingly
洞ほら	ほら、うつろ、うつ.ろ、ふかい、 ほがらか、みぬく ズ、トウ、ドウ den, cave, excavation words with this kanji: 洞窟どうくつ - cave
窟くつ	いわや、いはや、あな クツ、コチ、コツ cavern words with this kanji: 洞窟どうくつ - cave
蝙へん	こうもり ヘン bat words with this kanji: 蝙蝠こうもり - a bat (small flying mammal of order Chiroptera)
蝠ふく	蝮 フク bat words with this kanji: 蝙蝠こうもり - a bat (small flying mammal of order Chiroptera)
衝しょう	つ.く シュ、ショウ collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick words with this kanji: 衝突しょうとつ - collision, crash
岸きし	きし ガン beach Kishi (surname) words with this kanji: 海岸かいがん - coast; shore (the border between land and sea)
宝たから	寶、寳、寚、財、貨 たから ホウ、ホ treasure, wealth, valuables words with this kanji: 宝箱たからばこ - treasure chest; strongbox​ 宝物たからもの - treasure, treasury 宝石ほうせき - gemstone 私わたしたちは埋うめられた宝たからを探さがしている。
陰かげ	阴、阥、隂 かげ、かげ.る、くら.い、ほと オン、イン shade, yin, negative, sex organs, secret, shadow words with this kanji: 物陰ものかげ - place hidden from view; cover; shelter; hiding place​ 彼女かのじょが陰かげで糸いとを引ひいていた。
埋まい	う.める、う.まる、う.もれる、 うず.める、うず.もれる、うず.まる、 い.ける マイ、メ、バイ bury, be filled up, embedded words with this kanji: 埋うめる - to bury
隠いん	隱、乚 かく.す、かく.し、かく.れる、 かく.ろう、こも.る、なば.る、よ.る イン、オン conceal, hide, cover words with this kanji: 隠かくす - to hide, to conceal 隠かくれる - to hide; conceal oneself 身みを隠かくす - to hide oneself​
永えい	なが.い、とこしえ ヨウ、エイ eternity, long, lengthy words with this kanji: 永遠えいえん - eternity
冒ぼう	冐 おか.す、おお.う、ねた.む、むさぼ.る モウ、ボウ、マイ、バイ risk, face, defy, dare, damage, assume (a name) words with this kanji: 冒険ぼうけん - adventure
呪じゅ	咒 まじな.う、のろ.い、まじな.い、 のろ.う、のろ.わしい、かし.る、 しゅ.す、じゅ.す、ほさ.く ジュ、シュ、シュウ、ズ spell, curse, charm, malediction words with this kanji: 呪のろう - to curse 呪のろい - a curse (supernatural detriment)
騎き	の.る ギ、キ equestrian, riding on horses, (counter for equestrians) words with this kanji: 騎士きし - knight (warrior, especially of the Middle Ages) 騎士道きしどう - chivalry (ethical code)
幻まぼろし	まぼろし ゲン、カン phantasm, vision, dream, illusion, apparition words with this kanji: 幻想げんそう - fantasy, illusion
抱ほう	だ.く、いだ.く、かか.える ホウ、ボウ embrace, hug, hold in arms words with this kanji: 抱いだく - to hold something in mind, to harbor some feeling about, to entertain a thought about
畑はたけ	"畠 はた、はたけ、-ばたけ farm, field, garden, one's specialty, (kokuji) Hata (surname) 畑はたけを雪ゆきが厚あつく覆おおっていた。"
農のう	ノウ、ノ、ドウ agriculture, farmers words with this kanji: 農家のうか - a farmer 農場のうじょう - farm
蒔し	う.える、ま.く シ、ジ sow (seeds) words with this kanji: 蒔まく - to sow, plant
刈がい	か.る ゲ、ガイ、カイ reap, cut, clip, trim, prune words with this kanji: 刈かる - to cut grass, hair or something similar by sharp tool; clip, crop, cut, shear, mow, prune, trim
穀こく	糓 たなつもの コク cereals, grain words with this kanji: 穀物こくもつ - cereal; grain
牧まき	まき、か.う、やしな.う モク、ボク breed, care for, shepherd, feed, pasture Maki (surname) words with this kanji: 牧場ぼくじょう - livestock farm, ranch
穫かく	か.る、とりい.れる ワク、カク harvest, reap words with this kanji: 収穫しゅうかく - harvest, crop; harvesting
栽さい	う.える サイ plantation, planting Sai (surname) words with this kanji: 栽培さいばい - cultivation, culture
培ばい	つちか.う バイ、ブ、ベ、ハイ、ホウ cultivate, foster words with this kanji: 栽培さいばい - cultivation, culture
